2021.4.10 11:24:57:630   leftController:(0.24, 1.14, -0.44)  rightController:(0.38, 1.16, -0.46)  leftTracker:(0.24, 0.22, -0.76)  rightTracker:(0.48, 0.20, -0.77)  headset:(0.26, 1.69, -0.69)  leftControllerVel:(0.04, -0.04, -0.02)  rightControllerVel:(0.00, 0.00, -0.02)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:24:57:646   leftController:(0.24, 1.14, -0.44)  rightController:(0.38, 1.16, -0.46)  leftTracker:(0.24, 0.22, -0.76)  rightTracker:(0.48, 0.20, -0.77)  headset:(0.26, 1.69, -0.69)  leftControllerVel:(0.05, -0.05, -0.02)  rightControllerVel:(0.00, 0.00, -0.02)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:24:57:669   leftController:(0.24, 1.14, -0.44)  rightController:(0.38, 1.16, -0.46)  leftTracker:(0.24, 0.22, -0.76)  rightTracker:(0.48, 0.20, -0.77)  headset:(0.26, 1.69, -0.69)  leftControllerVel:(0.05, -0.05, -0.02)  rightControllerVel:(0.00, 0.00, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:24:57:691   leftController:(0.24, 1.14, -0.44)  rightController:(0.38, 1.16, -0.46)  leftTracker:(0.24, 0.22, -0.76)  rightTracker:(0.48, 0.20, -0.77)  headset:(0.26, 1.69, -0.69)  leftControllerVel:(0.05, -0.05, -0.02)  rightControllerVel:(0.00, -0.01, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:24:57:715   leftController:(0.24, 1.14, -0.44)  rightController:(0.38, 1.16, -0.46)  leftTracker:(0.24, 0.22, -0.76)  rightTracker:(0.48, 0.20, -0.77)  headset:(0.26, 1.69, -0.69)  leftControllerVel:(0.05, -0.04, -0.03)  rightControllerVel:(0.00, -0.01, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:24:57:736   leftController:(0.24, 1.14, -0.44)  rightController:(0.38, 1.16, -0.46)  leftTracker:(0.24, 0.22, -0.76)  rightTracker:(0.48, 0.20, -0.77)  headset:(0.26, 1.69, -0.69)  leftControllerVel:(0.04, -0.02, -0.03)  rightControllerVel:(0.00, -0.01, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:24:57:758   leftController:(0.24, 1.14, -0.44)  rightController:(0.38, 1.16, -0.46)  leftTracker:(0.24, 0.22, -0.76)  rightTracker:(0.48, 0.20, -0.77)  headset:(0.26, 1.69, -0.69)  leftControllerVel:(0.04, 0.00, -0.03)  rightControllerVel:(0.00, -0.01, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:24:57:786   leftController:(0.24, 1.14, -0.44)  rightController:(0.38, 1.15, -0.46)  leftTracker:(0.24, 0.22, -0.76)  rightTracker:(0.48, 0.20, -0.77)  headset:(0.26, 1.69, -0.69)  leftControllerVel:(0.03, 0.01, -0.02)  rightControllerVel:(0.00, 0.00, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:24:57:803   leftController:(0.24, 1.14, -0.44)  rightController:(0.38, 1.15, -0.46)  leftTracker:(0.24, 0.22, -0.76)  rightTracker:(0.48, 0.20, -0.77)  headset:(0.26, 1.69, -0.69)  leftControllerVel:(0.02, 0.01, -0.02)  rightControllerVel:(0.00, 0.00, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:24:57:825   leftController:(0.24, 1.14, -0.44)  rightController:(0.38, 1.15, -0.46)  leftTracker:(0.24, 0.22, -0.76)  rightTracker:(0.48, 0.20, -0.77)  headset:(0.26, 1.69, -0.69)  leftControllerVel:(0.02, 0.02, -0.02)  rightControllerVel:(-0.01, 0.00, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
