2021.4.10 19:39:51:809   leftController:(0.08, 1.05, -0.25)  rightController:(0.32, 1.15, -0.23)  leftTracker:(0.05, 0.21, -0.55)  rightTracker:(0.39, 0.21, -0.56)  headset:(0.22, 1.72, -0.42)  leftControllerVel:(-0.05, -0.36, 0.02)  rightControllerVel:(0.16, -0.65, -0.02)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.10 19:39:51:832   leftController:(0.07, 1.04, -0.25)  rightController:(0.33, 1.14, -0.23)  leftTracker:(0.05, 0.21, -0.55)  rightTracker:(0.39, 0.21, -0.56)  headset:(0.22, 1.72, -0.42)  leftControllerVel:(-0.09, -0.43, 0.01)  rightControllerVel:(0.17, -0.72, -0.03)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.10 19:39:51:855   leftController:(0.07, 1.03, -0.25)  rightController:(0.33, 1.12, -0.23)  leftTracker:(0.05, 0.21, -0.55)  rightTracker:(0.39, 0.21, -0.56)  headset:(0.22, 1.72, -0.42)  leftControllerVel:(-0.11, -0.53, 0.00)  rightControllerVel:(0.16, -0.77, -0.04)  leftTrackerVel:(0.00, 0.00, -0.02)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.10 19:39:51:876   leftController:(0.07, 1.01, -0.25)  rightController:(0.33, 1.10, -0.23)  leftTracker:(0.05, 0.21, -0.55)  rightTracker:(0.39, 0.21, -0.56)  headset:(0.22, 1.72, -0.42)  leftControllerVel:(-0.14, -0.60, -0.01)  rightControllerVel:(0.18, -0.78, -0.07)  leftTrackerVel:(0.00, 0.01, -0.02)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:39:51:899   leftController:(0.06, 1.00, -0.25)  rightController:(0.34, 1.09, -0.23)  leftTracker:(0.05, 0.21, -0.55)  rightTracker:(0.39, 0.21, -0.56)  headset:(0.22, 1.72, -0.42)  leftControllerVel:(-0.19, -0.65, -0.03)  rightControllerVel:(0.20, -0.76, -0.11)  leftTrackerVel:(0.00, 0.01, -0.03)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:39:51:923   leftController:(0.06, 0.98, -0.25)  rightController:(0.34, 1.07, -0.23)  leftTracker:(0.05, 0.21, -0.55)  rightTracker:(0.39, 0.21, -0.56)  headset:(0.22, 1.72, -0.42)  leftControllerVel:(-0.22, -0.74, -0.07)  rightControllerVel:(0.21, -0.77, -0.14)  leftTrackerVel:(0.00, 0.01, -0.03)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:39:51:951   leftController:(0.05, 0.96, -0.25)  rightController:(0.35, 1.05, -0.24)  leftTracker:(0.05, 0.21, -0.55)  rightTracker:(0.39, 0.21, -0.56)  headset:(0.22, 1.72, -0.43)  leftControllerVel:(-0.20, -0.82, -0.15)  rightControllerVel:(0.17, -0.86, -0.18)  leftTrackerVel:(0.00, 0.01, -0.03)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:39:51:965   leftController:(0.05, 0.95, -0.26)  rightController:(0.35, 1.03, -0.24)  leftTracker:(0.05, 0.21, -0.55)  rightTracker:(0.39, 0.21, -0.56)  headset:(0.22, 1.72, -0.43)  leftControllerVel:(-0.18, -0.85, -0.20)  rightControllerVel:(0.15, -0.91, -0.21)  leftTrackerVel:(0.00, 0.01, -0.02)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:39:51:988   leftController:(0.05, 0.93, -0.26)  rightController:(0.35, 1.01, -0.25)  leftTracker:(0.05, 0.21, -0.55)  rightTracker:(0.39, 0.21, -0.56)  headset:(0.22, 1.72, -0.43)  leftControllerVel:(-0.16, -0.87, -0.27)  rightControllerVel:(0.11, -0.98, -0.26)  leftTrackerVel:(0.00, 0.00, -0.02)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:39:52:10   leftController:(0.04, 0.91, -0.27)  rightController:(0.36, 0.99, -0.25)  leftTracker:(0.05, 0.21, -0.55)  rightTracker:(0.39, 0.21, -0.56)  headset:(0.22, 1.72, -0.43)  leftControllerVel:(-0.13, -0.88, -0.37)  rightControllerVel:(0.11, -1.02, -0.32)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
