2021.4.10 10:08:52:805   leftController:(-0.14, 1.00, -0.31)  rightController:(0.16, 1.25, -0.28)  leftTracker:(-0.11, 0.19, -0.60)  rightTracker:(0.30, 0.18, -0.63)  headset:(-0.01, 1.68, -0.47)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, -0.03, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:08:52:817   leftController:(-0.14, 1.00, -0.31)  rightController:(0.16, 1.25, -0.28)  leftTracker:(-0.11, 0.19, -0.60)  rightTracker:(0.30, 0.18, -0.63)  headset:(-0.01, 1.68, -0.47)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, -0.03, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:08:52:833   leftController:(-0.14, 1.00, -0.31)  rightController:(0.16, 1.25, -0.28)  leftTracker:(-0.11, 0.19, -0.60)  rightTracker:(0.30, 0.18, -0.63)  headset:(-0.01, 1.68, -0.47)  leftControllerVel:(0.00, 0.01, 0.00)  rightControllerVel:(-0.01, -0.02, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:08:52:842   leftController:(-0.14, 1.00, -0.31)  rightController:(0.16, 1.25, -0.28)  leftTracker:(-0.11, 0.19, -0.60)  rightTracker:(0.30, 0.18, -0.63)  headset:(-0.01, 1.68, -0.47)  leftControllerVel:(0.00, 0.01, 0.00)  rightControllerVel:(-0.01, -0.02, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:08:52:850   leftController:(-0.14, 1.00, -0.31)  rightController:(0.16, 1.25, -0.28)  leftTracker:(-0.11, 0.19, -0.60)  rightTracker:(0.30, 0.18, -0.63)  headset:(-0.01, 1.68, -0.47)  leftControllerVel:(0.00, 0.01, 0.00)  rightControllerVel:(-0.01, -0.02, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:08:52:861   leftController:(-0.14, 1.00, -0.31)  rightController:(0.16, 1.25, -0.28)  leftTracker:(-0.11, 0.19, -0.60)  rightTracker:(0.30, 0.18, -0.63)  headset:(-0.01, 1.68, -0.47)  leftControllerVel:(0.01, 0.01, 0.00)  rightControllerVel:(-0.01, -0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:08:52:874   leftController:(-0.14, 1.00, -0.31)  rightController:(0.16, 1.25, -0.28)  leftTracker:(-0.11, 0.19, -0.60)  rightTracker:(0.30, 0.18, -0.63)  headset:(-0.01, 1.68, -0.47)  leftControllerVel:(0.01, 0.01, 0.00)  rightControllerVel:(-0.01, -0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:08:52:884   leftController:(-0.14, 1.00, -0.31)  rightController:(0.16, 1.24, -0.28)  leftTracker:(-0.11, 0.19, -0.60)  rightTracker:(0.30, 0.18, -0.63)  headset:(-0.01, 1.68, -0.47)  leftControllerVel:(0.01, 0.01, 0.00)  rightControllerVel:(-0.01, -0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:08:52:895   leftController:(-0.14, 1.00, -0.31)  rightController:(0.16, 1.24, -0.28)  leftTracker:(-0.11, 0.19, -0.60)  rightTracker:(0.30, 0.18, -0.63)  headset:(-0.01, 1.68, -0.47)  leftControllerVel:(0.01, 0.01, 0.00)  rightControllerVel:(-0.01, -0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:08:52:906   leftController:(-0.14, 1.00, -0.31)  rightController:(0.16, 1.24, -0.28)  leftTracker:(-0.11, 0.19, -0.60)  rightTracker:(0.30, 0.18, -0.63)  headset:(-0.01, 1.68, -0.47)  leftControllerVel:(0.01, 0.01, 0.00)  rightControllerVel:(-0.01, -0.02, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:08:52:919   leftController:(-0.14, 1.00, -0.31)  rightController:(0.16, 1.24, -0.28)  leftTracker:(-0.11, 0.19, -0.60)  rightTracker:(0.30, 0.18, -0.63)  headset:(-0.01, 1.68, -0.47)  leftControllerVel:(0.01, 0.01, 0.00)  rightControllerVel:(0.00, -0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:08:52:928   leftController:(-0.14, 1.00, -0.31)  rightController:(0.16, 1.24, -0.28)  leftTracker:(-0.11, 0.19, -0.60)  rightTracker:(0.30, 0.18, -0.63)  headset:(-0.01, 1.68, -0.47)  leftControllerVel:(0.01, 0.01, 0.00)  rightControllerVel:(0.00, -0.03, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
