2021.4.10 19:15:33:681   leftController:(-0.19, 0.89, -0.46)  rightController:(0.11, 0.92, -0.41)  leftTracker:(-0.13, 0.21, -0.76)  rightTracker:(0.08, 0.24, -0.51)  headset:(0.01, 1.59, -0.59)  leftControllerVel:(-0.27, -0.01, -0.11)  rightControllerVel:(-0.18, -0.09, -0.20)  leftTrackerVel:(-0.02, -0.01, -0.04)  rightTrackerVel:(-0.03, 0.02, -0.01)
2021.4.10 19:15:33:695   leftController:(-0.20, 0.89, -0.46)  rightController:(0.11, 0.92, -0.41)  leftTracker:(-0.13, 0.21, -0.76)  rightTracker:(0.08, 0.24, -0.51)  headset:(0.01, 1.59, -0.59)  leftControllerVel:(-0.27, -0.01, -0.10)  rightControllerVel:(-0.17, -0.11, -0.21)  leftTrackerVel:(-0.03, -0.01, -0.04)  rightTrackerVel:(-0.03, 0.02, -0.01)
2021.4.10 19:15:33:704   leftController:(-0.20, 0.89, -0.46)  rightController:(0.10, 0.92, -0.41)  leftTracker:(-0.13, 0.21, -0.76)  rightTracker:(0.08, 0.24, -0.51)  headset:(0.01, 1.59, -0.59)  leftControllerVel:(-0.28, -0.02, -0.10)  rightControllerVel:(-0.17, -0.12, -0.21)  leftTrackerVel:(-0.03, -0.01, -0.04)  rightTrackerVel:(-0.03, 0.02, -0.01)
2021.4.10 19:15:33:713   leftController:(-0.20, 0.89, -0.46)  rightController:(0.10, 0.92, -0.41)  leftTracker:(-0.13, 0.21, -0.76)  rightTracker:(0.08, 0.24, -0.51)  headset:(0.00, 1.59, -0.59)  leftControllerVel:(-0.28, -0.03, -0.10)  rightControllerVel:(-0.16, -0.14, -0.21)  leftTrackerVel:(-0.03, -0.01, -0.04)  rightTrackerVel:(-0.03, 0.02, -0.01)
2021.4.10 19:15:33:723   leftController:(-0.21, 0.89, -0.46)  rightController:(0.10, 0.92, -0.42)  leftTracker:(-0.13, 0.21, -0.76)  rightTracker:(0.08, 0.24, -0.51)  headset:(0.00, 1.59, -0.59)  leftControllerVel:(-0.27, -0.04, -0.10)  rightControllerVel:(-0.16, -0.17, -0.22)  leftTrackerVel:(-0.03, -0.02, -0.04)  rightTrackerVel:(-0.03, 0.02, -0.01)
2021.4.10 19:15:33:732   leftController:(-0.21, 0.89, -0.46)  rightController:(0.10, 0.92, -0.42)  leftTracker:(-0.13, 0.21, -0.76)  rightTracker:(0.08, 0.24, -0.51)  headset:(0.00, 1.59, -0.60)  leftControllerVel:(-0.27, -0.04, -0.10)  rightControllerVel:(-0.16, -0.18, -0.23)  leftTrackerVel:(-0.03, -0.02, -0.03)  rightTrackerVel:(-0.03, 0.01, -0.01)
2021.4.10 19:15:33:740   leftController:(-0.21, 0.89, -0.46)  rightController:(0.10, 0.91, -0.42)  leftTracker:(-0.13, 0.21, -0.76)  rightTracker:(0.08, 0.24, -0.51)  headset:(0.00, 1.59, -0.60)  leftControllerVel:(-0.27, -0.06, -0.10)  rightControllerVel:(-0.15, -0.19, -0.24)  leftTrackerVel:(-0.03, -0.02, -0.03)  rightTrackerVel:(-0.03, 0.01, 0.00)
2021.4.10 19:15:33:763   leftController:(-0.22, 0.89, -0.46)  rightController:(0.09, 0.91, -0.43)  leftTracker:(-0.13, 0.21, -0.76)  rightTracker:(0.08, 0.25, -0.51)  headset:(0.00, 1.59, -0.60)  leftControllerVel:(-0.25, -0.07, -0.10)  rightControllerVel:(-0.14, -0.19, -0.25)  leftTrackerVel:(-0.03, -0.02, -0.02)  rightTrackerVel:(-0.03, 0.01, 0.00)
2021.4.10 19:15:33:776   leftController:(-0.22, 0.89, -0.46)  rightController:(0.09, 0.91, -0.43)  leftTracker:(-0.13, 0.21, -0.76)  rightTracker:(0.08, 0.25, -0.52)  headset:(-0.01, 1.59, -0.60)  leftControllerVel:(-0.24, -0.08, -0.10)  rightControllerVel:(-0.13, -0.18, -0.26)  leftTrackerVel:(-0.03, -0.01, -0.02)  rightTrackerVel:(-0.03, 0.01, 0.02)
2021.4.10 19:15:33:786   leftController:(-0.22, 0.89, -0.47)  rightController:(0.09, 0.91, -0.43)  leftTracker:(-0.13, 0.21, -0.76)  rightTracker:(0.08, 0.25, -0.52)  headset:(-0.01, 1.59, -0.60)  leftControllerVel:(-0.23, -0.09, -0.11)  rightControllerVel:(-0.13, -0.17, -0.26)  leftTrackerVel:(-0.03, -0.01, -0.02)  rightTrackerVel:(-0.03, 0.01, 0.02)
2021.4.10 19:15:33:795   leftController:(-0.22, 0.88, -0.47)  rightController:(0.09, 0.90, -0.43)  leftTracker:(-0.13, 0.21, -0.76)  rightTracker:(0.08, 0.25, -0.52)  headset:(-0.01, 1.59, -0.60)  leftControllerVel:(-0.22, -0.10, -0.11)  rightControllerVel:(-0.18, -0.16, -0.26)  leftTrackerVel:(-0.03, -0.01, -0.03)  rightTrackerVel:(-0.04, 0.01, 0.03)
2021.4.10 19:15:33:810   leftController:(-0.23, 0.88, -0.47)  rightController:(0.09, 0.90, -0.44)  leftTracker:(-0.13, 0.21, -0.76)  rightTracker:(0.08, 0.25, -0.52)  headset:(-0.02, 1.59, -0.61)  leftControllerVel:(-0.20, -0.11, -0.11)  rightControllerVel:(-0.25, -0.11, -0.28)  leftTrackerVel:(-0.03, -0.01, -0.03)  rightTrackerVel:(-0.04, 0.01, 0.03)
