2021.4.10 11:19:33:356   leftController:(0.37, 1.22, -0.29)  rightController:(0.54, 1.25, -0.35)  leftTracker:(0.29, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.41, 1.70, -0.51)  leftControllerVel:(0.01, -0.01, -0.01)  rightControllerVel:(0.00, -0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:19:33:377   leftController:(0.37, 1.22, -0.29)  rightController:(0.54, 1.25, -0.35)  leftTracker:(0.29, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.41, 1.70, -0.51)  leftControllerVel:(0.01, -0.01, -0.01)  rightControllerVel:(0.00, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:19:33:404   leftController:(0.37, 1.22, -0.29)  rightController:(0.54, 1.25, -0.35)  leftTracker:(0.29, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.41, 1.70, -0.51)  leftControllerVel:(0.01, -0.01, -0.01)  rightControllerVel:(0.00, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:19:33:422   leftController:(0.37, 1.22, -0.29)  rightController:(0.54, 1.25, -0.35)  leftTracker:(0.29, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.41, 1.70, -0.51)  leftControllerVel:(0.01, -0.01, -0.01)  rightControllerVel:(0.00, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:19:33:444   leftController:(0.37, 1.22, -0.29)  rightController:(0.54, 1.25, -0.35)  leftTracker:(0.29, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.41, 1.70, -0.51)  leftControllerVel:(0.01, -0.01, -0.01)  rightControllerVel:(0.00, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:19:33:466   leftController:(0.37, 1.22, -0.29)  rightController:(0.54, 1.25, -0.35)  leftTracker:(0.29, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.42, 1.70, -0.51)  leftControllerVel:(0.01, 0.00, 0.00)  rightControllerVel:(0.00, 0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:19:33:488   leftController:(0.37, 1.22, -0.29)  rightController:(0.54, 1.25, -0.35)  leftTracker:(0.29, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.42, 1.70, -0.51)  leftControllerVel:(0.01, 0.00, 0.00)  rightControllerVel:(0.01, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:19:33:510   leftController:(0.37, 1.22, -0.29)  rightController:(0.54, 1.25, -0.35)  leftTracker:(0.29, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.42, 1.70, -0.51)  leftControllerVel:(0.01, 0.00, 0.00)  rightControllerVel:(0.01, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.00, 0.00)
2021.4.10 11:19:33:534   leftController:(0.37, 1.22, -0.29)  rightController:(0.54, 1.25, -0.35)  leftTracker:(0.29, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.42, 1.70, -0.51)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.01, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.00, 0.00)
2021.4.10 11:19:33:560   leftController:(0.37, 1.22, -0.29)  rightController:(0.54, 1.25, -0.35)  leftTracker:(0.29, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.42, 1.70, -0.51)  leftControllerVel:(0.01, -0.01, -0.01)  rightControllerVel:(0.01, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.00, 0.00)
2021.4.10 11:19:33:578   leftController:(0.37, 1.22, -0.29)  rightController:(0.54, 1.24, -0.35)  leftTracker:(0.29, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.42, 1.70, -0.51)  leftControllerVel:(0.01, -0.01, -0.01)  rightControllerVel:(0.01, -0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:19:33:602   leftController:(0.37, 1.22, -0.29)  rightController:(0.54, 1.24, -0.35)  leftTracker:(0.29, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.42, 1.70, -0.51)  leftControllerVel:(0.00, -0.02, -0.01)  rightControllerVel:(0.02, -0.04, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, 0.00)
2021.4.10 11:19:33:622   leftController:(0.37, 1.21, -0.29)  rightController:(0.54, 1.24, -0.35)  leftTracker:(0.29, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.42, 1.70, -0.51)  leftControllerVel:(0.01, -0.02, -0.01)  rightControllerVel:(0.02, -0.04, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, 0.00)
2021.4.10 11:19:33:644   leftController:(0.37, 1.21, -0.29)  rightController:(0.54, 1.24, -0.35)  leftTracker:(0.29, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.42, 1.70, -0.51)  leftControllerVel:(0.01, -0.01, -0.01)  rightControllerVel:(0.02, -0.04, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, 0.00)
2021.4.10 11:19:33:667   leftController:(0.37, 1.21, -0.29)  rightController:(0.54, 1.24, -0.35)  leftTracker:(0.29, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.42, 1.70, -0.51)  leftControllerVel:(0.02, -0.01, -0.01)  rightControllerVel:(0.02, -0.04, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, 0.00)
2021.4.10 11:19:33:690   leftController:(0.37, 1.21, -0.29)  rightController:(0.54, 1.24, -0.35)  leftTracker:(0.29, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.42, 1.70, -0.51)  leftControllerVel:(0.02, 0.00, -0.02)  rightControllerVel:(0.03, -0.04, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, 0.00)
2021.4.10 11:19:33:717   leftController:(0.37, 1.21, -0.29)  rightController:(0.54, 1.24, -0.36)  leftTracker:(0.29, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.42, 1.70, -0.51)  leftControllerVel:(0.02, 0.00, -0.01)  rightControllerVel:(0.03, -0.03, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, 0.00)
2021.4.10 11:19:33:735   leftController:(0.37, 1.21, -0.29)  rightController:(0.55, 1.24, -0.36)  leftTracker:(0.29, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.42, 1.70, -0.51)  leftControllerVel:(0.02, 0.00, -0.01)  rightControllerVel:(0.03, -0.03, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.01, 0.00)
2021.4.10 11:19:33:757   leftController:(0.37, 1.21, -0.29)  rightController:(0.55, 1.24, -0.36)  leftTracker:(0.29, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.42, 1.70, -0.51)  leftControllerVel:(0.02, 0.00, -0.01)  rightControllerVel:(0.02, -0.03, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.01, 0.00)
2021.4.10 11:19:33:780   leftController:(0.37, 1.21, -0.29)  rightController:(0.55, 1.24, -0.36)  leftTracker:(0.29, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.42, 1.70, -0.51)  leftControllerVel:(0.02, 0.00, -0.01)  rightControllerVel:(0.03, -0.03, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, 0.00)
2021.4.10 11:19:33:801   leftController:(0.37, 1.21, -0.29)  rightController:(0.55, 1.24, -0.36)  leftTracker:(0.29, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.42, 1.70, -0.51)  leftControllerVel:(0.02, -0.01, -0.01)  rightControllerVel:(0.04, -0.06, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, 0.00)
2021.4.10 11:19:33:825   leftController:(0.37, 1.21, -0.29)  rightController:(0.55, 1.23, -0.36)  leftTracker:(0.29, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.42, 1.70, -0.51)  leftControllerVel:(0.03, -0.02, -0.01)  rightControllerVel:(0.06, -0.11, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, 0.00)
2021.4.10 11:19:33:835   leftController:(0.37, 1.21, -0.29)  rightController:(0.55, 1.23, -0.35)  leftTracker:(0.29, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.42, 1.70, -0.51)  leftControllerVel:(0.03, -0.02, -0.01)  rightControllerVel:(0.07, -0.13, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, 0.00)
2021.4.10 11:19:33:845   leftController:(0.37, 1.21, -0.29)  rightController:(0.55, 1.23, -0.35)  leftTracker:(0.29, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.42, 1.70, -0.51)  leftControllerVel:(0.03, -0.02, -0.01)  rightControllerVel:(0.09, -0.15, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, 0.00)
2021.4.10 11:19:33:863   leftController:(0.37, 1.21, -0.29)  rightController:(0.55, 1.23, -0.35)  leftTracker:(0.29, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.42, 1.70, -0.51)  leftControllerVel:(0.03, -0.02, -0.02)  rightControllerVel:(0.11, -0.18, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, 0.00)
2021.4.10 11:19:33:873   leftController:(0.37, 1.21, -0.29)  rightController:(0.55, 1.23, -0.35)  leftTracker:(0.29, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.42, 1.70, -0.51)  leftControllerVel:(0.03, -0.02, -0.02)  rightControllerVel:(0.13, -0.20, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, 0.00)
2021.4.10 11:19:33:881   leftController:(0.37, 1.21, -0.29)  rightController:(0.56, 1.22, -0.35)  leftTracker:(0.29, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.42, 1.70, -0.51)  leftControllerVel:(0.03, -0.02, -0.02)  rightControllerVel:(0.13, -0.21, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, 0.00)
2021.4.10 11:19:33:890   leftController:(0.37, 1.21, -0.29)  rightController:(0.56, 1.22, -0.35)  leftTracker:(0.29, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.42, 1.70, -0.51)  leftControllerVel:(0.03, -0.02, -0.02)  rightControllerVel:(0.14, -0.21, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, 0.00)
2021.4.10 11:19:33:901   leftController:(0.37, 1.21, -0.29)  rightController:(0.56, 1.22, -0.35)  leftTracker:(0.29, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.42, 1.70, -0.51)  leftControllerVel:(0.03, -0.01, -0.02)  rightControllerVel:(0.16, -0.23, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, 0.00)
