2021.4.10 19:34:43:83   leftController:(0.27, 1.36, -0.14)  rightController:(0.56, 1.20, -0.18)  leftTracker:(0.24, 0.22, -0.47)  rightTracker:(0.53, 0.20, -0.50)  headset:(0.41, 1.74, -0.38)  leftControllerVel:(-0.03, -0.02, 0.00)  rightControllerVel:(-0.01, 0.07, 0.03)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.10 19:34:43:99   leftController:(0.27, 1.36, -0.14)  rightController:(0.56, 1.20, -0.18)  leftTracker:(0.24, 0.22, -0.47)  rightTracker:(0.53, 0.20, -0.50)  headset:(0.41, 1.74, -0.38)  leftControllerVel:(-0.01, -0.03, 0.01)  rightControllerVel:(0.00, 0.08, 0.03)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.10 19:34:43:121   leftController:(0.27, 1.36, -0.14)  rightController:(0.56, 1.21, -0.18)  leftTracker:(0.24, 0.22, -0.47)  rightTracker:(0.53, 0.20, -0.50)  headset:(0.41, 1.74, -0.38)  leftControllerVel:(0.01, -0.03, 0.01)  rightControllerVel:(-0.01, 0.09, 0.03)  leftTrackerVel:(0.00, 0.01, -0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:34:43:143   leftController:(0.27, 1.36, -0.14)  rightController:(0.56, 1.21, -0.18)  leftTracker:(0.24, 0.22, -0.47)  rightTracker:(0.53, 0.20, -0.50)  headset:(0.41, 1.73, -0.38)  leftControllerVel:(0.03, -0.03, 0.01)  rightControllerVel:(-0.01, 0.10, 0.03)  leftTrackerVel:(0.00, 0.01, -0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:34:43:168   leftController:(0.27, 1.36, -0.14)  rightController:(0.56, 1.21, -0.18)  leftTracker:(0.24, 0.22, -0.47)  rightTracker:(0.53, 0.20, -0.50)  headset:(0.41, 1.73, -0.38)  leftControllerVel:(0.05, -0.04, 0.00)  rightControllerVel:(0.01, 0.10, 0.02)  leftTrackerVel:(0.01, 0.00, -0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:34:43:188   leftController:(0.27, 1.36, -0.14)  rightController:(0.56, 1.21, -0.17)  leftTracker:(0.24, 0.22, -0.47)  rightTracker:(0.53, 0.20, -0.50)  headset:(0.41, 1.73, -0.38)  leftControllerVel:(0.06, -0.06, 0.01)  rightControllerVel:(0.02, 0.09, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.10 19:34:43:211   leftController:(0.27, 1.36, -0.14)  rightController:(0.56, 1.21, -0.17)  leftTracker:(0.24, 0.22, -0.47)  rightTracker:(0.53, 0.20, -0.50)  headset:(0.41, 1.73, -0.38)  leftControllerVel:(0.08, -0.10, 0.03)  rightControllerVel:(0.03, 0.05, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.00, -0.01)
2021.4.10 19:34:43:238   leftController:(0.27, 1.35, -0.14)  rightController:(0.57, 1.21, -0.17)  leftTracker:(0.24, 0.22, -0.47)  rightTracker:(0.53, 0.20, -0.50)  headset:(0.41, 1.73, -0.38)  leftControllerVel:(0.09, -0.18, 0.06)  rightControllerVel:(0.03, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.00, -0.01)
2021.4.10 19:34:43:256   leftController:(0.28, 1.35, -0.14)  rightController:(0.57, 1.21, -0.17)  leftTracker:(0.24, 0.22, -0.47)  rightTracker:(0.53, 0.20, -0.50)  headset:(0.41, 1.73, -0.38)  leftControllerVel:(0.09, -0.23, 0.07)  rightControllerVel:(0.03, -0.03, 0.01)  leftTrackerVel:(0.01, 0.00, 0.00)  rightTrackerVel:(0.01, 0.00, -0.01)
2021.4.10 19:34:43:278   leftController:(0.28, 1.34, -0.13)  rightController:(0.57, 1.21, -0.17)  leftTracker:(0.24, 0.22, -0.47)  rightTracker:(0.53, 0.20, -0.50)  headset:(0.41, 1.72, -0.38)  leftControllerVel:(0.08, -0.31, 0.10)  rightControllerVel:(0.03, -0.07, 0.00)  leftTrackerVel:(0.01, 0.00, 0.00)  rightTrackerVel:(0.01, 0.00, -0.01)
2021.4.10 19:34:43:303   leftController:(0.28, 1.33, -0.13)  rightController:(0.57, 1.21, -0.17)  leftTracker:(0.24, 0.22, -0.47)  rightTracker:(0.53, 0.20, -0.50)  headset:(0.41, 1.72, -0.38)  leftControllerVel:(0.07, -0.37, 0.11)  rightControllerVel:(0.03, -0.13, 0.00)  leftTrackerVel:(0.01, 0.00, 0.00)  rightTrackerVel:(0.01, 0.00, 0.00)
2021.4.10 19:34:43:322   leftController:(0.28, 1.33, -0.13)  rightController:(0.57, 1.21, -0.17)  leftTracker:(0.24, 0.22, -0.47)  rightTracker:(0.53, 0.20, -0.50)  headset:(0.41, 1.72, -0.38)  leftControllerVel:(0.05, -0.40, 0.09)  rightControllerVel:(0.03, -0.16, 0.00)  leftTrackerVel:(0.01, 0.00, 0.00)  rightTrackerVel:(0.01, 0.00, 0.00)
2021.4.10 19:34:43:344   leftController:(0.28, 1.32, -0.13)  rightController:(0.57, 1.20, -0.17)  leftTracker:(0.24, 0.22, -0.47)  rightTracker:(0.53, 0.20, -0.50)  headset:(0.41, 1.72, -0.38)  leftControllerVel:(0.03, -0.40, 0.08)  rightControllerVel:(0.04, -0.17, 0.00)  leftTrackerVel:(0.01, 0.00, 0.00)  rightTrackerVel:(0.01, 0.00, 0.00)
2021.4.10 19:34:43:369   leftController:(0.28, 1.31, -0.13)  rightController:(0.57, 1.20, -0.17)  leftTracker:(0.24, 0.22, -0.47)  rightTracker:(0.53, 0.20, -0.50)  headset:(0.41, 1.72, -0.38)  leftControllerVel:(0.00, -0.40, 0.06)  rightControllerVel:(0.06, -0.14, 0.00)  leftTrackerVel:(0.01, 0.00, 0.00)  rightTrackerVel:(0.01, 0.00, 0.00)
2021.4.10 19:34:43:398   leftController:(0.28, 1.30, -0.13)  rightController:(0.57, 1.20, -0.17)  leftTracker:(0.24, 0.22, -0.47)  rightTracker:(0.53, 0.20, -0.50)  headset:(0.41, 1.72, -0.38)  leftControllerVel:(-0.05, -0.33, 0.01)  rightControllerVel:(0.05, -0.08, 0.00)  leftTrackerVel:(0.01, 0.00, 0.00)  rightTrackerVel:(0.01, 0.00, 0.00)
2021.4.10 19:34:43:412   leftController:(0.28, 1.29, -0.13)  rightController:(0.57, 1.20, -0.17)  leftTracker:(0.24, 0.22, -0.47)  rightTracker:(0.53, 0.20, -0.50)  headset:(0.41, 1.72, -0.38)  leftControllerVel:(-0.06, -0.30, -0.01)  rightControllerVel:(0.04, -0.04, 0.00)  leftTrackerVel:(0.01, 0.00, 0.00)  rightTrackerVel:(0.01, 0.00, 0.00)
2021.4.10 19:34:43:434   leftController:(0.28, 1.29, -0.13)  rightController:(0.57, 1.20, -0.17)  leftTracker:(0.24, 0.22, -0.47)  rightTracker:(0.53, 0.20, -0.50)  headset:(0.41, 1.72, -0.38)  leftControllerVel:(-0.06, -0.26, -0.03)  rightControllerVel:(0.03, 0.00, 0.00)  leftTrackerVel:(0.01, 0.00, 0.00)  rightTrackerVel:(0.01, 0.00, 0.00)
2021.4.10 19:34:43:457   leftController:(0.28, 1.28, -0.13)  rightController:(0.57, 1.20, -0.17)  leftTracker:(0.24, 0.22, -0.47)  rightTracker:(0.53, 0.20, -0.50)  headset:(0.41, 1.72, -0.38)  leftControllerVel:(-0.04, -0.24, -0.04)  rightControllerVel:(0.03, 0.04, 0.01)  leftTrackerVel:(0.01, 0.00, 0.00)  rightTrackerVel:(0.01, 0.00, 0.00)
2021.4.10 19:34:43:479   leftController:(0.28, 1.28, -0.13)  rightController:(0.57, 1.20, -0.17)  leftTracker:(0.24, 0.22, -0.47)  rightTracker:(0.53, 0.20, -0.50)  headset:(0.42, 1.72, -0.38)  leftControllerVel:(-0.03, -0.22, -0.05)  rightControllerVel:(0.05, 0.06, 0.02)  leftTrackerVel:(0.01, 0.00, 0.00)  rightTrackerVel:(0.01, 0.00, 0.00)
2021.4.10 19:34:43:502   leftController:(0.28, 1.27, -0.13)  rightController:(0.58, 1.20, -0.17)  leftTracker:(0.24, 0.22, -0.47)  rightTracker:(0.53, 0.20, -0.50)  headset:(0.42, 1.72, -0.38)  leftControllerVel:(-0.01, -0.17, -0.05)  rightControllerVel:(0.06, 0.07, 0.03)  leftTrackerVel:(0.01, 0.00, 0.01)  rightTrackerVel:(0.01, 0.00, 0.00)
2021.4.10 19:34:43:512   leftController:(0.28, 1.27, -0.13)  rightController:(0.58, 1.20, -0.17)  leftTracker:(0.24, 0.22, -0.47)  rightTracker:(0.53, 0.20, -0.50)  headset:(0.42, 1.72, -0.39)  leftControllerVel:(0.01, -0.15, -0.06)  rightControllerVel:(0.06, 0.06, 0.04)  leftTrackerVel:(0.01, 0.00, 0.01)  rightTrackerVel:(0.01, -0.01, 0.00)
2021.4.10 19:34:43:524   leftController:(0.28, 1.27, -0.13)  rightController:(0.58, 1.20, -0.17)  leftTracker:(0.24, 0.22, -0.47)  rightTracker:(0.53, 0.20, -0.50)  headset:(0.42, 1.72, -0.39)  leftControllerVel:(0.03, -0.12, -0.06)  rightControllerVel:(0.07, 0.06, 0.05)  leftTrackerVel:(0.01, 0.00, 0.01)  rightTrackerVel:(0.01, -0.01, 0.00)
2021.4.10 19:34:43:540   leftController:(0.28, 1.27, -0.13)  rightController:(0.58, 1.20, -0.17)  leftTracker:(0.24, 0.22, -0.47)  rightTracker:(0.53, 0.20, -0.50)  headset:(0.42, 1.72, -0.39)  leftControllerVel:(0.06, -0.08, -0.07)  rightControllerVel:(0.07, 0.06, 0.05)  leftTrackerVel:(0.01, 0.00, 0.01)  rightTrackerVel:(0.01, 0.00, 0.00)
2021.4.10 19:34:43:551   leftController:(0.28, 1.27, -0.13)  rightController:(0.58, 1.20, -0.17)  leftTracker:(0.24, 0.22, -0.47)  rightTracker:(0.53, 0.20, -0.50)  headset:(0.42, 1.72, -0.39)  leftControllerVel:(0.08, -0.06, -0.07)  rightControllerVel:(0.06, 0.05, 0.06)  leftTrackerVel:(0.01, 0.00, 0.01)  rightTrackerVel:(0.01, -0.01, 0.00)
