2021.4.10 20:33:59:876   leftController:(-0.01, 1.09, -0.58)  rightController:(0.23, 1.26, -0.52)  leftTracker:(-0.01, 0.24, -0.89)  rightTracker:(0.28, 0.22, -0.87)  headset:(0.14, 1.64, -0.80)  leftControllerVel:(0.00, -0.01, -0.01)  rightControllerVel:(-0.01, -0.04, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(-0.01, -0.01, 0.00)
2021.4.10 20:33:59:893   leftController:(-0.01, 1.08, -0.58)  rightController:(0.23, 1.26, -0.52)  leftTracker:(-0.01, 0.24, -0.89)  rightTracker:(0.28, 0.22, -0.87)  headset:(0.14, 1.64, -0.80)  leftControllerVel:(0.00, -0.01, 0.00)  rightControllerVel:(-0.01, -0.03, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(-0.01, -0.01, -0.01)
2021.4.10 20:33:59:913   leftController:(-0.01, 1.08, -0.58)  rightController:(0.23, 1.26, -0.52)  leftTracker:(-0.01, 0.24, -0.89)  rightTracker:(0.28, 0.22, -0.87)  headset:(0.14, 1.64, -0.80)  leftControllerVel:(0.00, -0.01, 0.00)  rightControllerVel:(-0.01, -0.03, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(-0.01, 0.00, -0.01)
2021.4.10 20:33:59:936   leftController:(-0.01, 1.08, -0.58)  rightController:(0.23, 1.26, -0.52)  leftTracker:(-0.01, 0.24, -0.89)  rightTracker:(0.28, 0.22, -0.87)  headset:(0.14, 1.64, -0.80)  leftControllerVel:(-0.01, -0.01, 0.00)  rightControllerVel:(-0.01, -0.03, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(-0.01, -0.01, -0.01)
2021.4.10 20:33:59:958   leftController:(-0.01, 1.08, -0.58)  rightController:(0.23, 1.26, -0.52)  leftTracker:(-0.01, 0.24, -0.89)  rightTracker:(0.28, 0.22, -0.87)  headset:(0.14, 1.64, -0.80)  leftControllerVel:(-0.01, -0.01, 0.00)  rightControllerVel:(-0.01, -0.03, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(-0.01, -0.01, -0.01)
2021.4.10 20:33:59:980   leftController:(-0.01, 1.08, -0.58)  rightController:(0.23, 1.26, -0.52)  leftTracker:(-0.01, 0.24, -0.89)  rightTracker:(0.28, 0.22, -0.87)  headset:(0.14, 1.64, -0.80)  leftControllerVel:(-0.01, -0.01, 0.00)  rightControllerVel:(-0.01, -0.03, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(-0.01, -0.01, 0.00)
2021.4.10 20:34:00:04   leftController:(-0.01, 1.08, -0.58)  rightController:(0.23, 1.25, -0.52)  leftTracker:(-0.01, 0.24, -0.89)  rightTracker:(0.28, 0.22, -0.87)  headset:(0.14, 1.64, -0.80)  leftControllerVel:(-0.01, -0.01, 0.00)  rightControllerVel:(0.00, -0.03, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(-0.01, -0.01, 0.00)
2021.4.10 20:34:00:32   leftController:(-0.01, 1.08, -0.58)  rightController:(0.23, 1.25, -0.52)  leftTracker:(-0.01, 0.24, -0.89)  rightTracker:(0.28, 0.22, -0.87)  headset:(0.14, 1.64, -0.80)  leftControllerVel:(-0.01, -0.01, 0.00)  rightControllerVel:(-0.01, -0.03, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(-0.01, 0.00, 0.00)
2021.4.10 20:34:00:48   leftController:(-0.01, 1.08, -0.58)  rightController:(0.23, 1.25, -0.52)  leftTracker:(-0.01, 0.24, -0.89)  rightTracker:(0.28, 0.22, -0.87)  headset:(0.14, 1.64, -0.80)  leftControllerVel:(-0.01, -0.01, 0.00)  rightControllerVel:(0.00, -0.03, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(-0.01, -0.01, 0.00)
2021.4.10 20:34:00:74   leftController:(-0.01, 1.08, -0.58)  rightController:(0.23, 1.25, -0.52)  leftTracker:(-0.01, 0.24, -0.89)  rightTracker:(0.28, 0.22, -0.87)  headset:(0.14, 1.64, -0.80)  leftControllerVel:(-0.01, -0.01, 0.00)  rightControllerVel:(0.00, -0.03, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(-0.01, -0.01, 0.00)
2021.4.10 20:34:00:92   leftController:(-0.01, 1.08, -0.58)  rightController:(0.23, 1.25, -0.52)  leftTracker:(-0.01, 0.24, -0.89)  rightTracker:(0.28, 0.22, -0.87)  headset:(0.14, 1.64, -0.80)  leftControllerVel:(0.00, -0.01, 0.00)  rightControllerVel:(0.01, -0.03, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(-0.01, 0.00, 0.00)
