2021.4.10 20:10:02:280   leftController:(-0.24, 1.06, 0.12)  rightController:(0.08, 1.03, 0.11)  leftTracker:(-0.20, 0.22, -0.19)  rightTracker:(0.05, 0.20, -0.23)  headset:(-0.04, 1.57, -0.18)  leftControllerVel:(-0.03, -0.02, 0.03)  rightControllerVel:(-0.08, -0.03, -0.01)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(-0.01, 0.00, 0.00)
2021.4.10 20:10:02:298   leftController:(-0.24, 1.06, 0.12)  rightController:(0.08, 1.03, 0.11)  leftTracker:(-0.20, 0.22, -0.19)  rightTracker:(0.05, 0.20, -0.23)  headset:(-0.04, 1.57, -0.18)  leftControllerVel:(-0.03, -0.02, 0.03)  rightControllerVel:(-0.08, -0.04, -0.01)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(-0.01, 0.00, 0.00)
2021.4.10 20:10:02:318   leftController:(-0.24, 1.06, 0.12)  rightController:(0.07, 1.03, 0.11)  leftTracker:(-0.20, 0.22, -0.19)  rightTracker:(0.05, 0.20, -0.23)  headset:(-0.04, 1.57, -0.18)  leftControllerVel:(-0.03, -0.02, 0.03)  rightControllerVel:(-0.08, -0.04, -0.01)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:10:02:340   leftController:(-0.24, 1.06, 0.12)  rightController:(0.07, 1.03, 0.11)  leftTracker:(-0.20, 0.22, -0.19)  rightTracker:(0.05, 0.20, -0.23)  headset:(-0.04, 1.57, -0.18)  leftControllerVel:(-0.04, -0.01, 0.03)  rightControllerVel:(-0.08, -0.04, -0.02)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:10:02:363   leftController:(-0.24, 1.06, 0.13)  rightController:(0.07, 1.03, 0.11)  leftTracker:(-0.20, 0.22, -0.19)  rightTracker:(0.05, 0.20, -0.23)  headset:(-0.04, 1.57, -0.18)  leftControllerVel:(-0.04, -0.01, 0.02)  rightControllerVel:(-0.07, -0.03, -0.03)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(-0.01, 0.00, 0.00)
2021.4.10 20:10:02:385   leftController:(-0.24, 1.06, 0.13)  rightController:(0.07, 1.03, 0.11)  leftTracker:(-0.20, 0.22, -0.19)  rightTracker:(0.05, 0.20, -0.23)  headset:(-0.04, 1.57, -0.18)  leftControllerVel:(-0.05, -0.01, 0.02)  rightControllerVel:(-0.08, -0.03, -0.03)  leftTrackerVel:(-0.02, 0.00, 0.00)  rightTrackerVel:(-0.01, 0.00, 0.00)
2021.4.10 20:10:02:407   leftController:(-0.24, 1.06, 0.13)  rightController:(0.07, 1.03, 0.11)  leftTracker:(-0.20, 0.22, -0.19)  rightTracker:(0.05, 0.20, -0.23)  headset:(-0.04, 1.57, -0.18)  leftControllerVel:(-0.04, -0.01, 0.02)  rightControllerVel:(-0.09, -0.03, -0.04)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(-0.01, 0.00, 0.00)
2021.4.10 20:10:02:438   leftController:(-0.25, 1.06, 0.13)  rightController:(0.06, 1.02, 0.10)  leftTracker:(-0.20, 0.22, -0.19)  rightTracker:(0.05, 0.20, -0.23)  headset:(-0.05, 1.57, -0.18)  leftControllerVel:(-0.05, -0.03, 0.02)  rightControllerVel:(-0.09, -0.05, -0.04)  leftTrackerVel:(-0.02, 0.00, 0.00)  rightTrackerVel:(-0.01, 0.00, 0.01)
2021.4.10 20:10:02:452   leftController:(-0.25, 1.06, 0.13)  rightController:(0.06, 1.02, 0.10)  leftTracker:(-0.20, 0.22, -0.19)  rightTracker:(0.05, 0.20, -0.23)  headset:(-0.05, 1.57, -0.18)  leftControllerVel:(-0.05, -0.03, 0.02)  rightControllerVel:(-0.09, -0.05, -0.03)  leftTrackerVel:(-0.02, 0.00, 0.00)  rightTrackerVel:(-0.01, 0.00, 0.01)
2021.4.10 20:10:02:476   leftController:(-0.25, 1.06, 0.13)  rightController:(0.06, 1.02, 0.10)  leftTracker:(-0.21, 0.22, -0.19)  rightTracker:(0.05, 0.20, -0.23)  headset:(-0.05, 1.57, -0.18)  leftControllerVel:(-0.06, -0.03, 0.02)  rightControllerVel:(-0.09, -0.05, -0.04)  leftTrackerVel:(-0.02, 0.00, 0.00)  rightTrackerVel:(-0.02, 0.00, 0.01)
2021.4.10 20:10:02:497   leftController:(-0.25, 1.06, 0.13)  rightController:(0.06, 1.02, 0.10)  leftTracker:(-0.21, 0.22, -0.19)  rightTracker:(0.05, 0.20, -0.23)  headset:(-0.05, 1.57, -0.18)  leftControllerVel:(-0.07, -0.04, 0.02)  rightControllerVel:(-0.11, -0.05, -0.05)  leftTrackerVel:(-0.02, 0.00, 0.00)  rightTrackerVel:(-0.01, 0.00, 0.01)
2021.4.10 20:10:02:521   leftController:(-0.25, 1.06, 0.13)  rightController:(0.06, 1.02, 0.10)  leftTracker:(-0.21, 0.22, -0.19)  rightTracker:(0.05, 0.20, -0.23)  headset:(-0.05, 1.57, -0.18)  leftControllerVel:(-0.07, -0.04, 0.02)  rightControllerVel:(-0.13, -0.06, -0.05)  leftTrackerVel:(-0.02, 0.00, 0.00)  rightTrackerVel:(-0.01, 0.00, 0.01)
2021.4.10 20:10:02:541   leftController:(-0.25, 1.06, 0.13)  rightController:(0.05, 1.02, 0.10)  leftTracker:(-0.21, 0.22, -0.19)  rightTracker:(0.05, 0.20, -0.23)  headset:(-0.06, 1.57, -0.17)  leftControllerVel:(-0.08, -0.03, 0.01)  rightControllerVel:(-0.12, -0.06, -0.05)  leftTrackerVel:(-0.02, 0.00, 0.00)  rightTrackerVel:(-0.02, 0.00, 0.01)
2021.4.10 20:10:02:564   leftController:(-0.25, 1.06, 0.13)  rightController:(0.05, 1.02, 0.10)  leftTracker:(-0.21, 0.22, -0.19)  rightTracker:(0.05, 0.20, -0.23)  headset:(-0.06, 1.57, -0.17)  leftControllerVel:(-0.09, -0.01, 0.00)  rightControllerVel:(-0.14, -0.07, -0.05)  leftTrackerVel:(-0.02, 0.00, 0.00)  rightTrackerVel:(-0.02, 0.00, 0.01)
2021.4.10 20:10:02:594   leftController:(-0.26, 1.06, 0.13)  rightController:(0.05, 1.01, 0.10)  leftTracker:(-0.21, 0.22, -0.19)  rightTracker:(0.05, 0.20, -0.23)  headset:(-0.06, 1.57, -0.17)  leftControllerVel:(-0.08, 0.00, 0.00)  rightControllerVel:(-0.16, -0.09, -0.04)  leftTrackerVel:(-0.02, 0.00, 0.00)  rightTrackerVel:(-0.02, 0.00, 0.01)
2021.4.10 20:10:02:609   leftController:(-0.26, 1.06, 0.13)  rightController:(0.04, 1.01, 0.10)  leftTracker:(-0.21, 0.22, -0.19)  rightTracker:(0.05, 0.20, -0.23)  headset:(-0.06, 1.57, -0.17)  leftControllerVel:(-0.08, 0.00, 0.01)  rightControllerVel:(-0.16, -0.09, -0.04)  leftTrackerVel:(-0.02, 0.00, 0.00)  rightTrackerVel:(-0.02, 0.00, 0.01)
2021.4.10 20:10:02:631   leftController:(-0.26, 1.06, 0.13)  rightController:(0.04, 1.01, 0.10)  leftTracker:(-0.21, 0.22, -0.19)  rightTracker:(0.05, 0.20, -0.23)  headset:(-0.07, 1.57, -0.17)  leftControllerVel:(-0.08, -0.01, 0.01)  rightControllerVel:(-0.17, -0.09, -0.04)  leftTrackerVel:(-0.02, 0.00, 0.00)  rightTrackerVel:(-0.03, 0.01, 0.01)
2021.4.10 20:10:02:653   leftController:(-0.26, 1.06, 0.13)  rightController:(0.03, 1.01, 0.10)  leftTracker:(-0.21, 0.22, -0.19)  rightTracker:(0.05, 0.20, -0.23)  headset:(-0.07, 1.57, -0.17)  leftControllerVel:(-0.09, -0.01, 0.01)  rightControllerVel:(-0.19, -0.08, -0.04)  leftTrackerVel:(-0.03, 0.00, 0.00)  rightTrackerVel:(-0.03, 0.00, 0.01)
2021.4.10 20:10:02:675   leftController:(-0.26, 1.06, 0.13)  rightController:(0.03, 1.01, 0.09)  leftTracker:(-0.21, 0.22, -0.19)  rightTracker:(0.04, 0.20, -0.23)  headset:(-0.08, 1.57, -0.17)  leftControllerVel:(-0.11, -0.02, 0.01)  rightControllerVel:(-0.22, -0.09, -0.04)  leftTrackerVel:(-0.03, 0.00, 0.00)  rightTrackerVel:(-0.03, 0.00, 0.01)
2021.4.10 20:10:02:698   leftController:(-0.27, 1.06, 0.13)  rightController:(0.03, 1.01, 0.09)  leftTracker:(-0.21, 0.22, -0.19)  rightTracker:(0.04, 0.20, -0.23)  headset:(-0.08, 1.57, -0.17)  leftControllerVel:(-0.13, -0.05, 0.02)  rightControllerVel:(-0.21, -0.08, -0.03)  leftTrackerVel:(-0.03, -0.01, 0.00)  rightTrackerVel:(-0.03, 0.00, 0.01)
2021.4.10 20:10:02:721   leftController:(-0.27, 1.05, 0.13)  rightController:(0.02, 1.00, 0.09)  leftTracker:(-0.21, 0.22, -0.19)  rightTracker:(0.04, 0.20, -0.23)  headset:(-0.09, 1.57, -0.16)  leftControllerVel:(-0.15, -0.08, 0.02)  rightControllerVel:(-0.19, -0.05, -0.03)  leftTrackerVel:(-0.04, -0.01, -0.01)  rightTrackerVel:(-0.03, 0.00, 0.02)
2021.4.10 20:10:02:738   leftController:(-0.27, 1.05, 0.13)  rightController:(0.02, 1.00, 0.09)  leftTracker:(-0.21, 0.22, -0.19)  rightTracker:(0.04, 0.20, -0.23)  headset:(-0.09, 1.57, -0.16)  leftControllerVel:(-0.16, -0.09, 0.02)  rightControllerVel:(-0.19, -0.05, -0.03)  leftTrackerVel:(-0.05, -0.01, -0.01)  rightTrackerVel:(-0.03, 0.00, 0.02)
2021.4.10 20:10:02:747   leftController:(-0.28, 1.05, 0.13)  rightController:(0.02, 1.00, 0.09)  leftTracker:(-0.21, 0.22, -0.19)  rightTracker:(0.04, 0.20, -0.23)  headset:(-0.10, 1.57, -0.16)  leftControllerVel:(-0.17, -0.09, 0.01)  rightControllerVel:(-0.19, -0.05, -0.03)  leftTrackerVel:(-0.05, -0.01, -0.01)  rightTrackerVel:(-0.03, 0.00, 0.02)
2021.4.10 20:10:02:757   leftController:(-0.28, 1.05, 0.13)  rightController:(0.01, 1.00, 0.09)  leftTracker:(-0.21, 0.22, -0.19)  rightTracker:(0.04, 0.20, -0.23)  headset:(-0.10, 1.57, -0.16)  leftControllerVel:(-0.17, -0.09, 0.00)  rightControllerVel:(-0.19, -0.06, -0.04)  leftTrackerVel:(-0.05, 0.00, -0.01)  rightTrackerVel:(-0.03, 0.00, 0.02)
2021.4.10 20:10:02:769   leftController:(-0.28, 1.05, 0.13)  rightController:(0.01, 1.00, 0.09)  leftTracker:(-0.21, 0.22, -0.19)  rightTracker:(0.04, 0.20, -0.23)  headset:(-0.10, 1.57, -0.16)  leftControllerVel:(-0.17, -0.10, -0.01)  rightControllerVel:(-0.19, -0.07, -0.03)  leftTrackerVel:(-0.04, 0.00, -0.01)  rightTrackerVel:(-0.03, 0.00, 0.03)
2021.4.10 20:10:02:778   leftController:(-0.28, 1.05, 0.13)  rightController:(0.01, 1.00, 0.09)  leftTracker:(-0.21, 0.22, -0.19)  rightTracker:(0.04, 0.20, -0.23)  headset:(-0.10, 1.57, -0.16)  leftControllerVel:(-0.17, -0.10, -0.01)  rightControllerVel:(-0.19, -0.07, -0.03)  leftTrackerVel:(-0.04, 0.00, -0.01)  rightTrackerVel:(-0.03, 0.00, 0.03)
