2021.4.10 20:36:30:423   leftController:(-0.03, 0.98, -0.18)  rightController:(0.23, 1.18, -0.12)  leftTracker:(-0.01, 0.25, -0.48)  rightTracker:(0.26, 0.22, -0.44)  headset:(0.14, 1.62, -0.36)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(-0.01, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:36:30:439   leftController:(-0.03, 0.98, -0.18)  rightController:(0.23, 1.18, -0.12)  leftTracker:(-0.01, 0.25, -0.48)  rightTracker:(0.26, 0.22, -0.44)  headset:(0.14, 1.62, -0.36)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(-0.01, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:36:30:460   leftController:(-0.03, 0.98, -0.18)  rightController:(0.23, 1.18, -0.12)  leftTracker:(-0.01, 0.25, -0.48)  rightTracker:(0.26, 0.22, -0.44)  headset:(0.14, 1.62, -0.36)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(-0.01, -0.02, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:36:30:482   leftController:(-0.03, 0.98, -0.18)  rightController:(0.23, 1.18, -0.12)  leftTracker:(-0.01, 0.25, -0.48)  rightTracker:(0.26, 0.22, -0.44)  headset:(0.14, 1.62, -0.36)  leftControllerVel:(-0.01, 0.00, 0.00)  rightControllerVel:(-0.01, -0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:36:30:504   leftController:(-0.03, 0.98, -0.18)  rightController:(0.23, 1.18, -0.12)  leftTracker:(-0.01, 0.25, -0.48)  rightTracker:(0.26, 0.22, -0.44)  headset:(0.14, 1.62, -0.36)  leftControllerVel:(-0.01, 0.01, 0.00)  rightControllerVel:(-0.01, -0.03, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:36:30:526   leftController:(-0.03, 0.98, -0.18)  rightController:(0.23, 1.18, -0.12)  leftTracker:(-0.01, 0.25, -0.48)  rightTracker:(0.26, 0.22, -0.44)  headset:(0.14, 1.62, -0.36)  leftControllerVel:(-0.01, 0.01, 0.00)  rightControllerVel:(-0.01, -0.03, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:36:30:551   leftController:(-0.03, 0.98, -0.18)  rightController:(0.23, 1.18, -0.12)  leftTracker:(-0.01, 0.25, -0.48)  rightTracker:(0.26, 0.22, -0.44)  headset:(0.13, 1.62, -0.36)  leftControllerVel:(-0.02, 0.01, 0.00)  rightControllerVel:(-0.01, -0.04, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:36:30:578   leftController:(-0.03, 0.98, -0.18)  rightController:(0.23, 1.18, -0.12)  leftTracker:(-0.01, 0.25, -0.48)  rightTracker:(0.26, 0.22, -0.44)  headset:(0.13, 1.62, -0.36)  leftControllerVel:(-0.03, 0.03, 0.01)  rightControllerVel:(-0.01, -0.05, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:36:30:594   leftController:(-0.03, 0.98, -0.18)  rightController:(0.23, 1.17, -0.12)  leftTracker:(-0.01, 0.25, -0.48)  rightTracker:(0.26, 0.22, -0.44)  headset:(0.13, 1.62, -0.36)  leftControllerVel:(-0.04, 0.04, 0.02)  rightControllerVel:(-0.02, -0.07, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:36:30:618   leftController:(-0.03, 0.98, -0.18)  rightController:(0.23, 1.17, -0.12)  leftTracker:(-0.01, 0.25, -0.48)  rightTracker:(0.26, 0.22, -0.44)  headset:(0.13, 1.62, -0.36)  leftControllerVel:(-0.04, 0.05, 0.02)  rightControllerVel:(-0.03, -0.10, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:36:30:639   leftController:(-0.03, 0.98, -0.18)  rightController:(0.23, 1.17, -0.12)  leftTracker:(-0.01, 0.25, -0.48)  rightTracker:(0.26, 0.22, -0.44)  headset:(0.13, 1.62, -0.36)  leftControllerVel:(-0.02, 0.06, 0.03)  rightControllerVel:(-0.03, -0.12, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:36:30:661   leftController:(-0.03, 0.98, -0.18)  rightController:(0.23, 1.17, -0.12)  leftTracker:(-0.01, 0.25, -0.48)  rightTracker:(0.26, 0.22, -0.44)  headset:(0.13, 1.62, -0.36)  leftControllerVel:(-0.01, 0.07, 0.04)  rightControllerVel:(-0.03, -0.16, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:36:30:683   leftController:(-0.03, 0.99, -0.18)  rightController:(0.23, 1.16, -0.12)  leftTracker:(-0.01, 0.25, -0.48)  rightTracker:(0.26, 0.22, -0.44)  headset:(0.13, 1.62, -0.36)  leftControllerVel:(-0.03, 0.10, 0.05)  rightControllerVel:(-0.02, -0.20, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:36:30:706   leftController:(-0.03, 0.99, -0.17)  rightController:(0.23, 1.16, -0.12)  leftTracker:(-0.01, 0.25, -0.48)  rightTracker:(0.26, 0.22, -0.44)  headset:(0.13, 1.62, -0.36)  leftControllerVel:(-0.03, 0.13, 0.06)  rightControllerVel:(-0.01, -0.26, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:36:30:737   leftController:(-0.03, 0.99, -0.17)  rightController:(0.23, 1.15, -0.12)  leftTracker:(-0.01, 0.25, -0.48)  rightTracker:(0.26, 0.22, -0.44)  headset:(0.13, 1.62, -0.36)  leftControllerVel:(-0.03, 0.17, 0.06)  rightControllerVel:(0.01, -0.34, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:36:30:750   leftController:(-0.03, 1.00, -0.17)  rightController:(0.23, 1.14, -0.12)  leftTracker:(-0.01, 0.25, -0.48)  rightTracker:(0.26, 0.22, -0.44)  headset:(0.13, 1.62, -0.36)  leftControllerVel:(-0.02, 0.19, 0.07)  rightControllerVel:(0.03, -0.38, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:36:30:773   leftController:(-0.03, 1.00, -0.17)  rightController:(0.23, 1.13, -0.12)  leftTracker:(-0.01, 0.25, -0.48)  rightTracker:(0.26, 0.22, -0.44)  headset:(0.13, 1.62, -0.36)  leftControllerVel:(0.00, 0.19, 0.06)  rightControllerVel:(0.08, -0.38, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
