2021.4.10 19:09:07:205   leftController:(0.35, 0.94, -0.51)  rightController:(0.59, 1.01, -0.48)  leftTracker:(0.45, 0.19, -0.75)  rightTracker:(0.66, 0.21, -0.65)  headset:(0.48, 1.58, -0.70)  leftControllerVel:(-0.04, 0.01, 0.02)  rightControllerVel:(0.00, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.01, 0.01)
2021.4.10 19:09:07:222   leftController:(0.35, 0.94, -0.51)  rightController:(0.59, 1.01, -0.48)  leftTracker:(0.45, 0.19, -0.75)  rightTracker:(0.66, 0.21, -0.65)  headset:(0.48, 1.58, -0.70)  leftControllerVel:(-0.05, 0.02, 0.02)  rightControllerVel:(0.00, -0.01, 0.00)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, 0.00)
2021.4.10 19:09:07:242   leftController:(0.35, 0.94, -0.51)  rightController:(0.59, 1.01, -0.48)  leftTracker:(0.45, 0.19, -0.75)  rightTracker:(0.66, 0.21, -0.65)  headset:(0.48, 1.58, -0.70)  leftControllerVel:(-0.05, 0.03, 0.02)  rightControllerVel:(0.00, 0.00, -0.01)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(0.01, 0.01, 0.00)
2021.4.10 19:09:07:264   leftController:(0.34, 0.94, -0.50)  rightController:(0.59, 1.01, -0.48)  leftTracker:(0.45, 0.19, -0.75)  rightTracker:(0.66, 0.21, -0.65)  headset:(0.48, 1.58, -0.70)  leftControllerVel:(-0.06, 0.03, 0.02)  rightControllerVel:(-0.01, -0.01, -0.01)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(0.01, 0.01, 0.00)
2021.4.10 19:09:07:287   leftController:(0.34, 0.94, -0.50)  rightController:(0.59, 1.01, -0.48)  leftTracker:(0.45, 0.19, -0.75)  rightTracker:(0.66, 0.21, -0.65)  headset:(0.48, 1.58, -0.70)  leftControllerVel:(-0.06, 0.03, 0.02)  rightControllerVel:(-0.01, -0.02, -0.01)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(0.01, 0.01, 0.00)
2021.4.10 19:09:07:309   leftController:(0.34, 0.94, -0.50)  rightController:(0.59, 1.01, -0.48)  leftTracker:(0.45, 0.19, -0.75)  rightTracker:(0.66, 0.21, -0.65)  headset:(0.48, 1.59, -0.70)  leftControllerVel:(-0.06, 0.04, 0.02)  rightControllerVel:(-0.01, -0.04, -0.01)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, -0.01)
2021.4.10 19:09:07:332   leftController:(0.34, 0.95, -0.50)  rightController:(0.59, 1.01, -0.48)  leftTracker:(0.45, 0.19, -0.75)  rightTracker:(0.66, 0.21, -0.65)  headset:(0.48, 1.59, -0.70)  leftControllerVel:(-0.07, 0.04, 0.03)  rightControllerVel:(0.00, -0.06, -0.01)  leftTrackerVel:(0.00, -0.01, 0.00)  rightTrackerVel:(0.00, 0.01, 0.00)
2021.4.10 19:09:07:358   leftController:(0.34, 0.95, -0.50)  rightController:(0.59, 1.00, -0.48)  leftTracker:(0.45, 0.19, -0.75)  rightTracker:(0.66, 0.21, -0.65)  headset:(0.48, 1.59, -0.70)  leftControllerVel:(-0.08, 0.04, 0.03)  rightControllerVel:(0.01, -0.07, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(-0.01, 0.01, -0.01)
2021.4.10 19:09:07:376   leftController:(0.34, 0.95, -0.50)  rightController:(0.59, 1.00, -0.48)  leftTracker:(0.45, 0.19, -0.75)  rightTracker:(0.66, 0.21, -0.65)  headset:(0.48, 1.59, -0.70)  leftControllerVel:(-0.09, 0.04, 0.04)  rightControllerVel:(0.00, -0.08, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(-0.01, 0.01, -0.01)
2021.4.10 19:09:07:398   leftController:(0.33, 0.95, -0.50)  rightController:(0.59, 1.00, -0.48)  leftTracker:(0.45, 0.19, -0.75)  rightTracker:(0.66, 0.21, -0.65)  headset:(0.48, 1.59, -0.70)  leftControllerVel:(-0.11, 0.05, 0.05)  rightControllerVel:(0.00, -0.09, -0.02)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, 0.00)
2021.4.10 19:09:07:421   leftController:(0.33, 0.95, -0.50)  rightController:(0.59, 1.00, -0.48)  leftTracker:(0.45, 0.19, -0.75)  rightTracker:(0.66, 0.21, -0.65)  headset:(0.48, 1.59, -0.70)  leftControllerVel:(-0.13, 0.06, 0.05)  rightControllerVel:(-0.01, -0.10, -0.02)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, 0.00)
2021.4.10 19:09:07:443   leftController:(0.33, 0.95, -0.50)  rightController:(0.59, 1.00, -0.48)  leftTracker:(0.45, 0.19, -0.75)  rightTracker:(0.66, 0.21, -0.65)  headset:(0.48, 1.59, -0.70)  leftControllerVel:(-0.13, 0.06, 0.05)  rightControllerVel:(-0.01, -0.11, -0.02)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, 0.00)
2021.4.10 19:09:07:465   leftController:(0.33, 0.95, -0.50)  rightController:(0.59, 0.99, -0.48)  leftTracker:(0.45, 0.19, -0.75)  rightTracker:(0.66, 0.21, -0.65)  headset:(0.48, 1.58, -0.70)  leftControllerVel:(-0.13, 0.06, 0.05)  rightControllerVel:(-0.01, -0.14, -0.02)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, 0.00)
2021.4.10 19:09:07:488   leftController:(0.32, 0.95, -0.50)  rightController:(0.59, 0.99, -0.48)  leftTracker:(0.45, 0.19, -0.75)  rightTracker:(0.66, 0.21, -0.65)  headset:(0.48, 1.59, -0.70)  leftControllerVel:(-0.10, 0.06, 0.04)  rightControllerVel:(0.01, -0.13, -0.03)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, 0.00)
2021.4.10 19:09:07:515   leftController:(0.32, 0.96, -0.49)  rightController:(0.59, 0.99, -0.48)  leftTracker:(0.45, 0.19, -0.75)  rightTracker:(0.66, 0.21, -0.65)  headset:(0.48, 1.59, -0.70)  leftControllerVel:(-0.05, 0.07, 0.04)  rightControllerVel:(0.03, -0.11, -0.03)  leftTrackerVel:(0.00, -0.01, 0.00)  rightTrackerVel:(0.00, 0.02, 0.00)
2021.4.10 19:09:07:532   leftController:(0.32, 0.96, -0.49)  rightController:(0.59, 0.98, -0.48)  leftTracker:(0.45, 0.19, -0.75)  rightTracker:(0.66, 0.21, -0.65)  headset:(0.47, 1.59, -0.70)  leftControllerVel:(-0.03, 0.08, 0.04)  rightControllerVel:(0.03, -0.11, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.02, 0.00)
2021.4.10 19:09:07:555   leftController:(0.32, 0.96, -0.49)  rightController:(0.59, 0.98, -0.48)  leftTracker:(0.45, 0.19, -0.75)  rightTracker:(0.66, 0.21, -0.65)  headset:(0.47, 1.59, -0.70)  leftControllerVel:(-0.02, 0.09, 0.04)  rightControllerVel:(0.02, -0.11, -0.03)  leftTrackerVel:(0.00, -0.01, 0.00)  rightTrackerVel:(0.01, 0.02, 0.01)
2021.4.10 19:09:07:577   leftController:(0.32, 0.96, -0.49)  rightController:(0.59, 0.98, -0.48)  leftTracker:(0.45, 0.19, -0.75)  rightTracker:(0.66, 0.21, -0.65)  headset:(0.47, 1.58, -0.70)  leftControllerVel:(-0.01, 0.13, 0.03)  rightControllerVel:(0.03, -0.08, -0.03)  leftTrackerVel:(0.00, -0.01, 0.01)  rightTrackerVel:(0.01, 0.02, 0.01)
2021.4.10 19:09:07:600   leftController:(0.32, 0.97, -0.49)  rightController:(0.59, 0.98, -0.48)  leftTracker:(0.45, 0.19, -0.75)  rightTracker:(0.66, 0.21, -0.66)  headset:(0.47, 1.58, -0.70)  leftControllerVel:(0.02, 0.15, 0.03)  rightControllerVel:(0.03, -0.04, -0.04)  leftTrackerVel:(0.00, -0.01, 0.01)  rightTrackerVel:(0.01, 0.02, 0.01)
2021.4.10 19:09:07:622   leftController:(0.32, 0.97, -0.49)  rightController:(0.59, 0.98, -0.48)  leftTracker:(0.45, 0.19, -0.75)  rightTracker:(0.66, 0.21, -0.65)  headset:(0.47, 1.58, -0.70)  leftControllerVel:(0.04, 0.17, 0.03)  rightControllerVel:(0.03, -0.02, -0.04)  leftTrackerVel:(-0.01, 0.00, 0.01)  rightTrackerVel:(0.00, 0.02, 0.01)
2021.4.10 19:09:07:633   leftController:(0.32, 0.97, -0.49)  rightController:(0.59, 0.98, -0.49)  leftTracker:(0.45, 0.19, -0.75)  rightTracker:(0.66, 0.21, -0.66)  headset:(0.47, 1.58, -0.70)  leftControllerVel:(0.04, 0.17, 0.02)  rightControllerVel:(0.03, -0.02, -0.04)  leftTrackerVel:(-0.01, -0.01, 0.00)  rightTrackerVel:(0.00, 0.01, 0.01)
2021.4.10 19:09:07:655   leftController:(0.32, 0.97, -0.49)  rightController:(0.59, 0.98, -0.49)  leftTracker:(0.45, 0.19, -0.75)  rightTracker:(0.66, 0.21, -0.66)  headset:(0.46, 1.58, -0.70)  leftControllerVel:(0.04, 0.18, 0.02)  rightControllerVel:(0.01, -0.05, -0.04)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, 0.01)
2021.4.10 19:09:07:671   leftController:(0.32, 0.98, -0.49)  rightController:(0.59, 0.98, -0.49)  leftTracker:(0.45, 0.19, -0.75)  rightTracker:(0.66, 0.21, -0.66)  headset:(0.46, 1.58, -0.70)  leftControllerVel:(0.03, 0.17, 0.02)  rightControllerVel:(0.00, -0.08, -0.04)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, 0.01)
